condition,protein,morphology,oxygen_levels,glucose_levels,morphology_death,glucose_death,oxygen_death,H2O_levels,NH4Cl_levels,KH2PO4_levels,MgSO4_levels,NaCl_levels,CaCl2_levels,FeSO4_levels,ZnCl2_levels,nutrients_death,toxin_in_blood,toxin_death
perturb,protein_45,0.5730803974705377,5976.37646484375,408.8597412109375,1.0,1.0,0.0,412.0737609863281,427.41650390625,413.4880065917969,408.53448486328125,417.9800109863281,377.3190002441406,398.4630126953125,414.3977355957031,7.0,12693570.0,1.0
perturb,protein_46,0.5774495677232389,6009.4658203125,402.63848876953125,1.0,1.0,0.0,410.16424560546875,425.5885009765625,413.11700439453125,405.7407531738281,416.1824951171875,372.88525390625,394.6669921875,411.1882629394531,7.0,12567558.0,1.0
perturb,protein_47,0.5893909626718004,5900.25,403.9364929199219,1.0,1.0,0.0,409.7980041503906,420.9532470703125,407.9679870605469,404.3630065917969,412.3290100097656,372.9627380371094,393.7640075683594,409.08599853515625,7.0,12577135.0,1.0
perturb,protein_48,0.5751398159840203,5893.13134765625,405.479736328125,1.0,1.0,0.0,411.8002624511719,425.9700012207031,412.2047424316406,406.5107421875,416.7825012207031,374.5407409667969,396.6782531738281,411.3142395019531,7.0,12662765.0,1.0
perturb,protein_49,0.5686843059078346,6007.18994140625,405.1722412109375,1.0,1.0,0.0,408.4784851074219,424.77801513671875,414.7862548828125,405.99224853515625,415.63525390625,374.3445129394531,395.60198974609375,412.5377502441406,7.0,12618236.0,1.0
perturb,protein_50,0.5728225514997157,6043.47314453125,407.0052490234375,1.0,1.0,0.0,413.3447570800781,426.0589904785156,412.37274169921875,405.6467590332031,416.9257507324219,373.9632568359375,396.1357421875,409.6875,7.0,12624088.0,1.0
perturb,protein_51,0.5692028985506215,5848.9677734375,407.9132385253906,1.0,1.0,0.0,412.30999755859375,426.83349609375,411.2742614746094,406.87701416015625,416.7037353515625,375.292236328125,396.1077575683594,412.0817565917969,7.0,12629893.0,1.0
perturb,protein_52,0.570238957277232,6041.64697265625,409.0065002441406,1.0,1.0,0.0,412.92974853515625,427.4324951171875,414.9070129394531,409.6982421875,417.22125244140625,376.0920104980469,398.55450439453125,415.4527587890625,7.0,12690494.0,1.0
perturb,protein_53,0.5694620539756259,5936.21240234375,404.63299560546875,1.0,1.0,0.0,411.708740234375,428.125,413.31524658203125,406.6787414550781,417.5952453613281,375.7925109863281,397.04400634765625,412.1400146484375,7.0,12597004.0,1.0
perturb,protein_54,0.5823012026565101,6106.52001953125,403.801513671875,1.0,1.0,0.0,410.8290100097656,426.3887634277344,413.63275146484375,405.7560119628906,416.6164855957031,375.71600341796875,395.04449462890625,412.46826171875,7.0,12568540.0,1.0
perturb,protein_55,0.5797518431935659,5908.5517578125,402.0507507324219,1.0,1.0,0.0,409.7747497558594,421.0147399902344,408.96124267578125,402.729248046875,411.2650146484375,373.0459899902344,393.10150146484375,408.73974609375,7.0,12590849.0,1.0
perturb,protein_56,0.5626933575977138,6143.8662109375,406.25,1.0,1.0,0.0,411.958740234375,428.2882385253906,412.7777404785156,408.010498046875,417.84698486328125,374.1422424316406,397.35675048828125,413.65625,7.0,12612584.0,1.0
perturb,protein_57,0.5794964028775935,6023.69921875,404.3477478027344,1.0,1.0,0.0,409.43023681640625,426.9472351074219,411.4877624511719,404.3867492675781,417.5679931640625,374.3182373046875,395.48199462890625,412.85174560546875,7.0,12598438.0,1.0
perturb,protein_58,0.5728225514997157,6032.7763671875,407.1312561035156,1.0,1.0,0.0,412.8965148925781,426.89825439453125,412.1527404785156,408.4985046386719,417.15325927734375,376.4955139160156,396.8494873046875,413.96624755859375,7.0,12635932.0,1.0
perturb,protein_59,0.5629548762735511,6006.279296875,405.5979919433594,1.0,1.0,0.0,413.7384948730469,428.5052490234375,415.0222473144531,408.49200439453125,417.3692626953125,375.749755859375,397.1367492675781,413.2359924316406,7.0,12634963.0,1.0
perturb,protein_60,0.5621700345893751,6044.68798828125,404.63775634765625,1.0,1.0,0.0,411.302490234375,425.9012451171875,412.27374267578125,406.50250244140625,416.44500732421875,374.2557373046875,396.26776123046875,411.8352355957031,7.0,12619223.0,1.0
perturb,protein_61,0.5613843351547246,6090.2998046875,406.9747619628906,1.0,1.0,0.0,414.2544860839844,428.7802429199219,415.93548583984375,408.8544921875,418.926513671875,376.23150634765625,398.3139953613281,415.6614990234375,7.0,12637365.0,1.0
perturb,protein_62,0.5707564241765163,5983.89306640625,406.74200439453125,1.0,1.0,0.0,412.0144958496094,425.4259948730469,412.9280090332031,406.96099853515625,417.28350830078125,375.0142517089844,396.1622619628906,411.5192565917969,7.0,12599257.0,1.0
perturb,protein_63,0.5697211155377454,5894.087890625,405.6715087890625,1.0,1.0,0.0,411.4727478027344,426.2972412109375,413.9834899902344,407.07525634765625,416.32525634765625,374.624755859375,396.6577453613281,411.24700927734375,7.0,12647343.0,1.0
perturb,protein_64,0.5694620539756259,6146.306640625,409.2647399902344,1.0,1.0,0.0,414.16448974609375,430.6514892578125,414.8114929199219,410.85101318359375,419.8657531738281,378.43023681640625,401.2822570800781,415.3012390136719,7.0,12661843.0,1.0
perturb,protein_65,0.5642610434465435,6252.11865234375,408.91375732421875,1.0,1.0,0.0,412.75299072265625,434.2327575683594,420.604248046875,409.3857421875,421.6022644042969,380.1102600097656,398.5,418.489013671875,7.0,12615141.0,1.0
